Наименование файла;Наименование товара;Категория продукта;Цена
IMG_5990;Масло Слобода Подсолнечное раф 1л пэт;Масло;142.0
IMG_5927;Мак Изд Моллето Петушиные Гребешки 400г;Макаронные изделия;45.0
IMG_5911;Крупа Пшено Агро Альянс Классик 800г;Пшено;76.0
IMG_5828;Крупа Рис Агрокультура дпин/зерн 800г;Рис;145.0
IMG_5924;Мак Изд Паста Пальмони Перо ГОСТ 400г;Макаронные изделия;57.0
IMG_5890;Крупа Манная Агро Альянс Элитная 800г;Манная крупа;105.0
IMG_5867;Крупа Рис Увелка Кругл/Шлиф 800г;Рис;120.0
IMG_20240408 (30);Молочный Мир сливки 500г стерил 33% т/п;Сливки;267.0
IMG_5860;Крупа Рис Макфа длин/зерн шлиф пропар 800г;Рис;189.0
IMG_5961;Мак Изд Федеричи Рожки Рифлёные 500г;Макаронные изделия;90.0
IMG_20240408 (11);Яйцо 1 шт куриное С1 РФ;Яйца;11.56
IMG_5818;Крупа Рис Националь Краснодарский 1500г;Рис;302.0
IMG_5991;Масло Слобода Оливковое 1л;Масло;167.0
IMG_5897;Крупа Рис Агро Альянс Супер Басмати 500г;Рис;207.0
IMG_20240408 (4);Картофель (вес) фас;Картофель;34.5
IMG_5751;Банан вес;Бананы;160.0
IMG_5986;Масло Веселая Семья Подсолнечное раф в/с 0,9л пэт;Масло;113.0
IMG_20240408 (58);Десерт Чудо Творож Вишня 4% 100г;Творожок;78.0
IMG_5886;Крупа Полба Воложка Цельная 800г;Полба;163.0
IMG_5795;Крупа Перловая Агрокультура 800г;Перловая крупа;60.0
IMG_5952;Мак Изд Кардинале Спирали 400г;Макаронные изделия;66.0
IMG_20240408 (24);Казбек Аква м/вода 1,5л газ пэт;Вода;40.0
IMG_5915;Мак Изд Урожай Перо 1кг;Макаронные изделия;56.7
IMG_5929;Мак Изд Моллето Рожки 400г;Макаронные изделия;45.0
IMG_5799;Крупа Гречневая Агрокультура ядрица 800 г;Гречневая крупа;101.0
IMG_6002;Мука Россия Нова Пшеничная в/с 2кг;Мука;69.0
IMG_20240408 (53);Плечо индюшиное ;Индейка;269.0
IMG_5949;Мак Изд Боттега Дель Соле Перья 400г;Макаронные изделия;53.0
IMG_5823;Крупа Пшено Крупинка 0,8кг;Пшено;40.0
IMG_5901;Крупа Рис Агро Альянс Смесь Бурого/Дикого в/п 500г;Рис;225.0
IMG_5997;Масло Урожайное Подсолнечное раф в/с 870мл пэт;Масло;105.0
IMG_6022;Батон Зебра 300 г -0,9г;Хлеб;34.0
IMG_5983;Мак Изд Галина Бланка Пружинки 370г;Макаронные изделия;82.0
IMG_5877;Крупа Горох ААКаскад Целый 900г;Горох;54.0
IMG_5848;Крупа Рис Макфа длин/зерн шлиф 400г;Рис;135.0
IMG_5932;Мак Изд Альпина Вермишель 0,9кг;Макаронные изделия;54.0
IMG_5746;Яблоко Голден соц. товар вес;Яблоки;99.0
IMG_5822;Крупа Гречневая Крупинка 0,8кг;Гречневая крупа;57.0
IMG_20240408 (17);Добрыня кефир 500г 2,5% п/э;Кефир;52.0
IMG_5802;Крупа Рис Агрокультура длин/зерн пропар 800г;Рис;142.0
IMG_20240408 (52);Куры охлажд;Курица;215.0
IMG_20240408 (50);Крылышки куриные ;Курица;189.0
IMG_6012;Мука Макфа Льняная 0,5 кг;Мука;110.0
IMG_6028;Хлеб Урожай Тостовый Мультизлак 350г форм уп нар;Хлеб;49.0
IMG_6005;Мука Безымянская Пшенич в/с 2кг;Мука;71.0
IMG_5998;Масло Софос Экстра Ворджин Оливк 500мл;Масло;1094.0
IMG_5804;Крупа Рис Азовские Пампухи кругл 800г;Рис;94.0
IMG_5873;Крупа Рис Увелка длин/зерн шлиф 800г м/у;Рис;168.0
IMG_5896;Крупа Кукурузная Агро Альянс Классик 700г;Кукурузная крупа;65.0
IMG_5835;Крупа Рис Гудвилл Краснодарск шлиф 400г к/уп;Рис;109.5
IMG_6011;Мука Макфа Рисовая 0,5 кг;Мука;116.0
IMG_5749;Яблоко Айдаред соц товар вес;Яблоки;84.5
IMG_5840;Крупа Манная Гудвилл 700г м/у;Манная крупа;83.0
IMG_5787;Крупа Ячневая Урожай №3 800г ;Ячневая крупа;37.0
IMG_5806;Крупа Гречневая Азовские Пампухи 800г;Гречневая крупа;65.0
IMG_5868;Крупа Перловая Увелка 800г;Перловая крупа;65.0
IMG_20240408 (46);Яйцо 1С ;Яйца;115.0
IMG_5956;Мак Изд Дель Кастелло Перья риф №49 500г;Макаронные изделия;175.0
IMG_20240408 (55);Сыр Гауда;Сыр;751.0
IMG_5958;Мак Изд Дель Кастелло Рожки Крупные №55 500г;Макаронные изделия;175.0
IMG_5942;Мак Изд Аида Пенне Ригате Перо 450г;Макаронные изделия;112.0
IMG_20240408 (13);Геркулес плавл/сыр 60г Дружба 55% фольга;Сыр;43.0
IMG_5807;Крупа Гречневая Лекфарма Адонис Ядрица 900г;Гречневая крупа;74.0
IMG_5850;Крупа Манная Ясно Солнышко Марка М 500г;Манная крупа;55.0
IMG_20240408 (7);Огурец (вес) длинноплодный;Огурцы;159.0
IMG_5747;Грейпфрут;Грейпфрут;110.0
IMG_20240408 (18);Володарушка кефир 900г пастер 2,5% п/э;Кефир;80.0
IMG_5798;Крупа Рис Агрокультура кругл/зерн 800г;Рис;124.0
IMG_5844;Крупа Гречневая Гудвилл Ядрица 800г м/у;Гречневая крупа;87.7
IMG_5759;Сок Мой Зеленое Яблоко 0,2л т/п;Сок;31.0
IMG_5757;Нектар Мой Гранат Виноград 0,95л т/п;Нектар;100.0
IMG_5909;Хлопья Агро Альянс Классик Геркулес 400г;Овсяные хлопья;40.0
IMG_5853;Крупа Горох Макфа Колот Шлиф 1/с 800г;Горох;103.0
IMG_5805;Крупа Горох Азовские Пампухи 800г;Горох;41.0
IMG_5977;Мак Изд Макфа Кольца в/с 400г;Макаронные изделия;78.0
IMG_5938;Мак Изд Dala Costa Penne Proteica Перья с Протеин 400г;Макаронные изделия;270.0
IMG_20240408 (56);Сало Копченое;Сало;738.0
IMG_5771;Крупа Пшеничная Метака Стандарт 700г;Пшеничная крупа;34.0
IMG_5816;Крупа Рис Националь д/Плова 900г;Рис;182.0
IMG_5755;Капуста б/к вес соц товар;Капуста;41.5
IMG_20240408 (32);Козачок мак изд 400г Спираль;Макаронные изделия;25.5
IMG_5829;Крупа Ячневая Агрокультура 600г;Ячневая крупа;46.0
IMG_20240408 (27);Урожай батон 400г Молочный фирменный уп.;Хлеб;43.0
IMG_5898;Крупа Киноа Агро Альянс 450г;Киноа;225.0
IMG_5830;Крупа Рис Крупинка дпин/зерн 0,8кг;Рис;116.0
IMG_5882;Крупа Перловая ААКаскад 900г;Перловая крупа;50.0
IMG_5946;Мак Изд Агро Альянс Рожок 450г;Макаронные изделия;65.0
IMG_5899;Крупа Рис Агро Альянс Смесь Золот/Дикого 500г;Рис;275.0
IMG_20240408 (22);Чудо йог 260г Вишня+черешня 1,9% бут;Йогурт;79.0
IMG_5842;Крупа Горох Гудвилл Экстра Колотый 800г;Горох;101.0
IMG_20240408 (20);Добрыня Сметана 400г 15% п/э;Сметана;108.0
IMG_5879;Крупа Рис ААКаскад пропар 900г;Рис;144.0
IMG_6003;Мука Безымянская Пшенич в/с 2кг;Мука;71.0
IMG_6008;Мука Кудесница Рисовая 500г;Мука;93.0
IMG_5902;Крупа Рис Агро Альянс д/Суши 500г;Рис;91.0
IMG_5782;Крупа Рис Националь Японский кругл 800г;Рис;182.0
IMG_20240408 (34);Веселая семья масло 0,9л Подсолн рафинир дезодор;Масло;112.0
IMG_5750;Яблоко Черный принц;Яблоки;100.99
IMG_5785;Крупа Артек Урожай Пшенич 800г ;Пшеничная крупа;51.0
IMG_20240408 (49);Грудка филейная;Курица;349.0
IMG_5969;Мак Изд Reggia Cavatappi Рожки 500г;Макаронные изделия;137.0
IMG_6021;Хлеб Карельский 300 г -0,9г;Хлеб;65.0
IMG_5862;Крупа Рис Увелка Длин/Пропар в/п 5*80г;Рис;120.0
IMG_20240408 (23);Прошу к столу! кукуруза 425мл сахарная ж/б;Кукуруза;83.0
IMG_5843;Крупа Рис Макфа шлиф\кругл 400г;Рис;115.0
IMG_20240408 (39);Перец Болгарский Желтый вес;Перец;405.0
IMG_5772;Крупа Рис Националь Премиум Смесь Золот/Дик 500г;Рис;309.0
IMG_5941;Мак Изд Аида Челлентани Рожок Витой 450г;Макаронные изделия;100.0
IMG_5778;Крупа Рис Националь Басмати Премиум 500г;Рис;185.0
IMG_5889;Крупа Ячневая ВоЛожка Ячм/Ароматная 700г;Ячневая крупа;40.0
IMG_5981;Мак Изд Галина Бланка Спираль 370г;Макаронные изделия;82.0
IMG_5817;Крупа Гречневая Националь Ядрица 900г;Гречневая крупа;136.0
IMG_20240408 (3);Лук (вес) Репчатый;Лук;33.0
IMG_5887;Крупа Пшеничная ВоЛожка Полтавская700г;Пшеничная крупа;76.0
IMG_5987;Масло МакМай Подсолнечное н/раф 1 Сорт 1л/920г пэт;Масло;124.0
IMG_6013;Мука Макфа Пшеничная Экстра 2кг;Мука;163.0
IMG_5984;Мак Изд Шебекенские Лагман Лапша 350г;Макаронные изделия;74.0
IMG_20240408 (12);Саратовский маргарин 250г Домашний 60% пергамент;Маргарин;51.0
IMG_5832;Крупа Пшеничная Крупинка 0,8кг;Пшеничная крупа;28.6
IMG_6016;Хлеб Урожай Бездрожжевой с Отрубями 300г уп;Хлеб;36.0
IMG_5900;Крупа Рис Агро Альянс Смесь Басм/Дикого 500г;Рис;438.0
IMG_5970;Мак Изд Макфа Мини Трубочки в/с 450г;Макаронные изделия;87.0
IMG_20240408 (5);Огурец (вес) короткоплодный;Огурцы;205.0
IMG_5953;Мак Изд Кардинале Вермишель 400г;Макаронные изделия;66.0
IMG_20240408 (35);Кубанская Марка масло 0,8л Подсолн Рафинир  ;Масло;96.0
IMG_5935;Мак Изд Дала Коста Цв Космические 200г;Макаронные изделия;94.0
IMG_5907;Крупа Маш АА Экстра 450г;Маш;157.0
IMG_6004;Мука Безымянская Пшенич в/с 1кг;Мука;37.0
IMG_5965;Мак Изд Реджия Спираль 500г;Макаронные изделия;137.0
IMG_6006;Мука Россия Нова Пшеничная в/с 2кг;Мука;69.0
IMG_5921;Мак Изд Алмак Рожки в/с 400г;Макаронные изделия;59.0
IMG_5959;Мак Изд Федеричи Вермишель 400г;Макаронные изделия;74.0
IMG_5784;Крупа Рис Националь Адриатика кругл 800г;Рис;188.0
IMG_5973;Мак Изд Макфа Птитим в/с 400г;Макаронные изделия;150.0
IMG_5780;Крупа Рис Националь Гигант длин/зерн 800г;Рис;221.0
IMG_5954;Мак Изд Кардинале Рожки 400г;Макаронные изделия;66.0
IMG_5957;Мак Изд Дель Кастелло Спиральки №57 500г;Макаронные изделия;175.0
IMG_20240408 (31);Пепси нап 2л пэт ;Пепси;229.0
IMG_5920;Мак Изд Знатные Перья №77 400г;Макаронные изделия;60.0
IMG_6023;Хлеб отрубной 340 г -3,0%;Хлеб;28.0
IMG_20240408 (44);Крупная Фасоль Белая вес;Фасоль;436.0
IMG_5852;Крупа Гречневая Макфа Ядрица быстр/вар 800г;Гречневая крупа;112.0
IMG_5849;Крупа Гречневая Макфа Зеленая 400г;Гречневая крупа;129.0
IMG_5968;Мак Изд Гранд ди Паста Витки 450г;Макаронные изделия;102.0
IMG_5871;Крупа Кукурузная Увелка 750г;Кукурузная крупа;67.0
IMG_5855;Крупа Пшено Увелка шлиф 5*80г вар/пак;Пшено;94.0
IMG_5916;Мак Изд Урожай Ракушки в/с;Макаронные изделия;56.7
IMG_5801;Крупа Горох Агрокультура шлиф 800г;Горох;59.0
IMG_5768;Крупа Рис Просто Басмати 500г;Рис;223.0
IMG_5993;Масло Олейна Подсолнечное Классическое 1л пэт;Масло;146.1
IMG_5948;Мак Изд Боттега Дель Соле Спирали 400г;Макаронные изделия;53.0
IMG_5838;Крупа Пшено Гудвилл шлиф 800г м/у;Пшено;108.0
IMG_20240408 (21);Глечик пряженка 320г кисломолочн продукт 3,2% пл/ст;Ряженка;80.0
IMG_5936;Мак Изд Альпина Звездочки 0,9кг;Макаронные изделия;54.0
IMG_5861;Крупа Кукурузная Макфа №4 700г;Кукурузная крупа;89.0
IMG_5796;Хлопья Агрокультура Овсяные Геркулес 400г;Овсяная крупа;35.0
IMG_5797;Крупа Манная Агрокультура 700г;Манная крупа;58.0
IMG_5754;Огурец Святогор вес 152,99;Огурцы;152.99
IMG_5773;Крупа Рис Националь Премиум Смесь Дик/Бур 500г;Рис;205.0
IMG_5947;Мак Изд Агро Альянс Вермишель 450г;Макаронные изделия;65.0
IMG_5989;Масло Слобода Подсолнечное н/раф 1л пэт;Масло;131.0
IMG_5777;Крупа Нут Националь в/с 450г;Нут;135.0
IMG_5885;Крупа Рис ВоЛожка Басмати 800г;Рис;288.0
IMG_5781;Крупа Рис Националь Азиатский длин/зерн 900г;Рис;212.0
IMG_5808;Крупа Рис Лекфарма Адонис длин/зерн шлиф 0,9кг;Рис;140.0
IMG_5783;Крупа Рис Националь Золото Тайланда длин/зерн 900г;Рис;212.0
IMG_5815;Крупа Рис Крупинка Круглый 0,8кг;Рис;90.0
IMG_6024;Хлеб Бородинский 300 г -0,9г;Хлеб;35.0
IMG_5925;Мак Изд Pasta Palmoni Виток ГОСТ 400г;Макаронные изделия;57.0
IMG_5847;Крупа Рис Гудвилл пропар/шлиф 800г м/у;Рис;172.0
IMG_20240408 (29);Коровка из Кореновки сгущ мол 360г вареное с сахар 8,5% ж/б ключ;Сгущенное молоко;172.0
IMG_5753;Капуста Цветная вес 115,00;Капуста;115.0
IMG_6027;Батон Городской 400г -3,0%;Хлеб;36.0
IMG_5903;Крупа Кускус Агро Альянс Экстра 450г;Кускус;143.0
IMG_5845;Крупа Гречневая Гудвилл Ядрица 800г м/у;Гречневая крупа;87.7
IMG_5945;Мак Изд Агро Альянс Спираль 450г;Макаронные изделия;65.0
IMG_5872;Крупа Пшено Увелка шлиф 800г;Пшено;85.0
IMG_5971;Мак Изд Макфа Перья Любител в/с 400г;Макаронные изделия;78.0
IMG_5776;Крупа Чечевица Националь Красная в/с 450г;Чечевица;106.0
IMG_20240408 (14);Молочный Мир молоко 1л стерил 3,2% т/п;Молоко стерилизованное;110.0
IMG_5831;Крупа Булгур Крупинка Классич 0,8кг;Булгур;120.0
